OBJECTID_1,COUNTY,COUNTY_ID,TOWN,TOWN_ID,VILLAGE,VILLAGE_ID,V_ID,TV_ALL,VILLCODE,AREA
6984,彰化縣,10007,二林鎮,10007200,華崙里,020,10007200-020,彰化縣二林鎮華崙里,A0720-020-00,4933835.6808
6985,彰化縣,10007,員林鎮,10007100,東和里,001,10007100-001,彰化縣員林鎮東和里,A0710-001-00,82334.7005
6986,彰化縣,10007,員林鎮,10007100,三義里,011,10007100-011,彰化縣員林鎮三義里,A0710-011-00,289045.6837
6987,彰化縣,10007,員林鎮,10007100,民生里,002,10007100-002,彰化縣員林鎮民生里,A0710-002-00,177337.6949
6988,彰化縣,10007,埤頭鄉,10007220,興農村,002,10007220-002,彰化縣埤頭鄉興農村,A0722-002-00,2027987.7581
6989,彰化縣,10007,永靖鄉,10007160,永南村,003,10007160-003,彰化縣永靖鄉永南村,A0716-003-00,415335.3479
6990,彰化縣,10007,社頭鄉,10007170,廣福村,005,10007170-005,彰化縣社頭鄉廣福村,A0717-005-00,690186.1804
6991,彰化縣,10007,社頭鄉,10007170,仁和村,009,10007170-009,彰化縣社頭鄉仁和村,A0717-009-00,1552072.1401
6992,彰化縣,10007,社頭鄉,10007170,松竹村,022,10007170-022,彰化縣社頭鄉松竹村,A0717-022-00,587173.5756
6993,彰化縣,10007,田尾鄉,10007210,柳鳳村,014,10007210-014,彰化縣田尾鄉柳鳳村,A0721-014-00,1198548.5728
6994,苗栗縣,10005,公館鄉,10005090,中義村,005,10005090-005,公館鄉中義村,A0509-005-00,2858271.582
6995,苗栗縣,10005,苑裡鎮,10005020,西平里,004,10005020-004,苑裡鎮西平里,A0502-004-00,1567418.9473
6996,彰化縣,10007,芳苑鄉,10007230,永興村,007,10007230-007,彰化縣芳苑鄉永興村,A0723-007-00,15170775.3853
6997,彰化縣,10007,員林鎮,10007100,和平里,006,10007100-006,彰化縣員林鎮和平里,A0710-006-00,222414.3149
6998,彰化縣,10007,溪湖鎮,10007110,大突里,007,10007110-007,彰化縣溪湖鎮大突里,A0711-007-00,915426.3493
6999,彰化縣,10007,員林鎮,10007100,黎明里,009,10007100-009,彰化縣員林鎮黎明里,A0710-009-00,121098.8474
7000,彰化縣,10007,員林鎮,10007100,惠來里,010,10007100-010,彰化縣員林鎮惠來里,A0710-010-00,431051.857
7001,彰化縣,10007,員林鎮,10007100,萬年里,024,10007100-024,彰化縣員林鎮萬年里,A0710-024-00,2316918.4041
7002,彰化縣,10007,員林鎮,10007100,崙雅里,025,10007100-025,彰化縣員林鎮崙雅里,A0710-025-00,1086397.5616
7003,彰化縣,10007,芳苑鄉,10007230,三合村,006,10007230-006,彰化縣芳苑鄉三合村,A0723-006-00,3413370.594
7004,彰化縣,10007,芳苑鄉,10007230,頂[廓]村,013,10007230-013,彰化縣芳苑鄉頂[廓]村,A0723-013-00,3563158.4468
7005,彰化縣,10007,大村鄉,10007130,貢旗村,009,10007130-009,彰化縣大村鄉貢旗村,A0713-009-00,1332558.0433
7006,彰化縣,10007,埔鹽鄉,10007140,崑崙村,008,10007140-008,彰化縣埔鹽鄉崑崙村,A0714-008-00,824483.5843
7007,彰化縣,10007,埔鹽鄉,10007140,角樹村,009,10007140-009,彰化縣埔鹽鄉角樹村,A0714-009-00,764176.8155
7008,彰化縣,10007,員林鎮,10007100,三信里,038,10007100-038,彰化縣員林鎮三信里,A0710-038-00,303395.8154
7009,彰化縣,10007,員林鎮,10007100,大峯里,030,10007100-030,彰化縣員林鎮大峯里,A0710-030-00,2353416.0468
7010,彰化縣,10007,芳苑鄉,10007230,博愛村,016,10007230-016,彰化縣芳苑鄉博愛村,A0723-016-00,521235.2527
7011,彰化縣,10007,員林鎮,10007100,鎮興里,031,10007100-031,彰化縣員林鎮鎮興里,A0710-031-00,927914.7704
7012,彰化縣,10007,員林鎮,10007100,三和里,018,10007100-018,彰化縣員林鎮三和里,A0710-018-00,611717.4586
7013,彰化縣,10007,溪湖鎮,10007110,頂庄里,019,10007110-019,彰化縣溪湖鎮頂庄里,A0711-019-00,905413.8067
7014,彰化縣,10007,二林鎮,10007200,頂厝里,013,10007200-013,彰化縣二林鎮頂厝里,A0720-013-00,2469394.5533
7015,彰化縣,10007,埔心鄉,10007150,東門村,001,10007150-001,彰化縣埔心鄉東門村,A0715-001-00,1236559.5479
7016,彰化縣,10007,溪湖鎮,10007110,大庭里,022,10007110-022,彰化縣溪湖鎮大庭里,A0711-022-00,655836.5847
7017,彰化縣,10007,永靖鄉,10007160,瑚璉村,009,10007160-009,彰化縣永靖鄉瑚璉村,A0716-009-00,1093101.4427
7018,彰化縣,10007,永靖鄉,10007160,同仁村,020,10007160-020,彰化縣永靖鄉同仁村,A0716-020-00,644235.3422
7019,彰化縣,10007,社頭鄉,10007170,湳雅村,021,10007170-021,彰化縣社頭鄉湳雅村,A0717-021-00,3016530.7744
7020,彰化縣,10007,永靖鄉,10007160,永興村,014,10007160-014,彰化縣永靖鄉永興村,A0716-014-00,1312473.229
7021,彰化縣,10007,埤頭鄉,10007220,豊崙村,004,10007220-004,彰化縣埤頭鄉豊崙村,A0722-004-00,6727160.5763
7022,彰化縣,10007,芬園鄉,10007090,圳墘村,009,10007090-009,彰化縣芬園鄉圳墘村,A0709-009-00,1485661.304
7023,彰化縣,10007,大村鄉,10007130,南勢村,003,10007130-003,彰化縣大村鄉南勢村,A0713-003-00,1462719.668
7024,彰化縣,10007,大村鄉,10007130,擺塘村,014,10007130-014,彰化縣大村鄉擺塘村,A0713-014-00,1858623.3711
7025,彰化縣,10007,員林鎮,10007100,東北里,036,10007100-036,彰化縣員林鎮東北里,A0710-036-00,2603253.3122
7026,彰化縣,10007,員林鎮,10007100,浮圳里,032,10007100-032,彰化縣員林鎮浮圳里,A0710-032-00,962523.9143
7027,彰化縣,10007,芳苑鄉,10007230,崙腳村,024,10007230-024,彰化縣芳苑鄉崙腳村,A0723-024-00,3134349.2466
7028,彰化縣,10007,埔心鄉,10007150,經口村,009,10007150-009,彰化縣埔心鄉經口村,A0715-009-00,922692.3144
7029,彰化縣,10007,埔心鄉,10007150,瓦南村,007,10007150-007,彰化縣埔心鄉瓦南村,A0715-007-00,410812.8705
7030,彰化縣,10007,溪湖鎮,10007110,忠覺里,020,10007110-020,彰化縣溪湖鎮忠覺里,A0711-020-00,920072.4137
7031,彰化縣,10007,永靖鄉,10007160,永北村,004,10007160-004,彰化縣永靖鄉永北村,A0716-004-00,982113.9205
7032,彰化縣,10007,永靖鄉,10007160,四芳村,022,10007160-022,彰化縣永靖鄉四芳村,A0716-022-00,814163.8719
7033,彰化縣,10007,永靖鄉,10007160,光雲村,012,10007160-012,彰化縣永靖鄉光雲村,A0716-012-00,755889.4546
7034,彰化縣,10007,芳苑鄉,10007230,新街村,014,10007230-014,彰化縣芳苑鄉新街村,A0723-014-00,14310739.3659
7035,彰化縣,10007,埔鹽鄉,10007140,豐澤村,007,10007140-007,彰化縣埔鹽鄉豐澤村,A0714-007-00,1731726.25
7036,彰化縣,10007,大村鄉,10007130,美港村,007,10007130-007,彰化縣大村鄉美港村,A0713-007-00,1040969.4763
7037,彰化縣,10007,溪湖鎮,10007110,西寮里,006,10007110-006,彰化縣溪湖鎮西寮里,A0711-006-00,1766349.7207
7038,彰化縣,10007,埔鹽鄉,10007140,打廉村,006,10007140-006,彰化縣埔鹽鄉打廉村,A0714-006-00,1584974.9059
7039,彰化縣,10007,芬園鄉,10007090,溪頭村,010,10007090-010,彰化縣芬園鄉溪頭村,A0709-010-00,1737141.9134
7040,彰化縣,10007,埔心鄉,10007150,舊[館]村,012,10007150-012,彰化縣埔心鄉舊[館]村,A0715-012-00,1711249.168
7041,彰化縣,10007,芳苑鄉,10007230,興仁村,019,10007230-019,彰化縣芳苑鄉興仁村,A0723-019-00,2749938.8204
7042,彰化縣,10007,永靖鄉,10007160,福興村,023,10007160-023,彰化縣永靖鄉福興村,A0716-023-00,1217935.9409
