ivid,blue,green
HSQ-050-016,1636,561
HSQ-050-014,1210,833
HSQ-050-020,949,426
HSQ-050-015,944,409
HSQ-060-001,232,224
HSQ-060-003,318,291
HSQ-060-002,337,397
HSQ-060-005,249,341
HSQ-060-006,185,159
HSQ-060-004,462,610
HSQ-060-009,430,559
HSQ-060-010,486,266
HSQ-060-014,769,405
HSQ-060-015,1073,688
HSQ-060-007,634,503
HSQ-060-012,338,238
HSQ-060-013,338,165
HSQ-060-008,1131,691
HSQ-060-017,640,443
HSQ-060-011,998,589
HSQ-060-016,754,444
HSQ-070-002,115,102
HSQ-070-001,186,105
HSQ-070-003,292,187
HSQ-070-004,90,109
HSQ-070-005,773,562
HSQ-070-006,367,426
HSQ-070-007,158,102
HSQ-070-008,152,162
HSQ-070-009,665,519
HSQ-070-010,432,399
HSQ-070-011,844,852
HSQ-070-012,284,256
HSQ-080-001,1166,706
HSQ-080-002,274,260
HSQ-080-003,56,50
HSQ-080-004,111,52
HSQ-080-005,137,75
HSQ-080-006,384,136
HSQ-080-011,339,133
HSQ-080-007,119,153
HSQ-080-008,256,337
HSQ-080-009,629,303
HSQ-080-010,622,250
HSQ-090-001,326,305
HSQ-090-002,408,282
HSQ-090-007,203,145
HSQ-090-003,663,725
HSQ-090-004,170,289
HSQ-090-005,130,99
HSQ-090-006,238,150
HSQ-090-008,102,97
HSQ-090-009,75,99
HSQ-100-001,533,419
HSQ-100-010,575,508
HSQ-100-002,360,298
HSQ-100-003,245,178
HSQ-100-004,449,283
HSQ-100-006,216,188
HSQ-100-005,266,181
HSQ-100-008,230,148
HSQ-100-009,220,173
HSQ-100-007,148,118
HSQ-110-001,269,181
HSQ-110-002,206,246
HSQ-110-003,162,168
HSQ-110-005,129,207
HSQ-110-004,501,241
HSQ-110-006,190,243
HSQ-120-001,216,76
HSQ-120-002,175,29
HSQ-120-003,401,60
HSQ-120-005,459,92
HSQ-120-004,223,45
HSQ-120-006,261,86
HSQ-120-007,353,106
HSQ-130-001,697,85
HSQ-130-004,602,130
HSQ-130-002,280,80
HSQ-130-003,165,29
MIA-010-001,432,225
MIA-010-003,395,231
MIA-010-007,1436,639
MIA-010-006,1649,734
MIA-010-004,907,449
MIA-010-005,1420,628
MIA-010-008,350,193
MIA-010-009,1083,505
MIA-010-012,356,242
MIA-010-010,395,246
MIA-010-011,270,107
MIA-010-014,444,312
MIA-010-023,872,428
MIA-010-013,1582,698
MIA-010-017,1258,606
MIA-010-015,639,369
MIA-010-016,1904,866
MIA-010-018,1397,737
MIA-010-026,1280,546
MIA-010-019,1503,694
MIA-010-025,1234,549
MIA-010-002,1597,647
MIA-010-022,1801,792
MIA-010-021,1312,557
MIA-010-028,1173,553
MIA-010-020,462,254
MIA-010-024,621,298
MIA-010-027,705,359
MIA-090-001,662,416
MIA-090-002,996,543
MIA-090-003,1316,675
MIA-090-005,918,496
MIA-090-006,840,472
MIA-090-004,413,235
MIA-090-008,515,206
MIA-090-011,176,99
MIA-090-009,806,394
MIA-090-007,671,332
MIA-090-010,154,76
MIA-090-014,635,310
MIA-090-015,594,319
MIA-090-017,652,321
MIA-090-016,537,330
MIA-090-018,121,37
MIA-090-019,160,78
MIA-120-001,1202,515
MIA-120-004,843,333
MIA-120-003,346,176
MIA-120-005,420,248
MIA-120-006,177,110
MIA-120-002,893,429
MIA-120-007,570,204
MIA-120-008,185,87
MIA-100-002,2201,888
MIA-100-004,744,264
MIA-100-005,623,247
MIA-100-003,849,368
MIA-100-006,586,177
MIA-100-001,552,131
MIA-100-007,1237,777
MIA-100-008,306,162
MIA-100-009,220,105
MIA-100-010,300,146
MIA-130-001,2116,871
MIA-130-004,1679,637
MIA-130-002,924,384
MIA-130-003,757,313
MIA-130-005,862,230
MIA-130-006,269,75
MIA-130-007,584,337
MIA-140-001,308,114
MIA-140-002,316,118
MIA-140-003,457,176
MIA-140-004,356,98
MIA-140-007,522,188
MIA-140-006,250,96
MIA-140-005,297,103
MIA-140-008,616,199
MIA-140-009,366,133
MIA-030-001,441,368
MIA-030-002,820,565
MIA-030-003,692,535
MIA-030-024,779,444
MIA-030-005,332,179
MIA-030-004,689,357
MIA-030-006,1104,653
MIA-030-014,807,424
MIA-030-015,234,100
MIA-030-016,503,144
MIA-030-017,215,70
MIA-030-018,363,166
MIA-030-007,320,172
MIA-030-008,368,304
MIA-030-009,321,229
MIA-030-010,284,157
MIA-030-011,576,292
MIA-030-012,611,305
MIA-030-013,669,373
MIA-030-019,982,464
MIA-030-020,372,411
MIA-030-021,335,182
MIA-030-022,488,279
MIA-030-023,279,196
MIA-020-001,760,519
MIA-020-002,568,532
MIA-020-003,299,288
MIA-020-004,478,452
MIA-020-005,381,397
MIA-020-006,668,553
MIA-020-007,397,346
MIA-020-008,936,596
MIA-020-009,1267,1064
MIA-020-010,744,560
MIA-020-011,352,293
MIA-020-012,240,208
MIA-020-013,563,320
MIA-020-014,469,504
MIA-020-015,682,470
MIA-020-016,481,356
MIA-020-017,231,197
MIA-020-018,394,237
MIA-020-023,220,224
MIA-020-020,553,507
MIA-020-021,657,384
MIA-020-022,592,462
MIA-020-019,795,646
MIA-020-024,574,365
MIA-020-025,660,431
MIA-060-001,636,239
MIA-060-002,380,199
MIA-060-003,649,284
MIA-060-004,1708,615
MIA-060-005,1113,331
MIA-060-006,527,232
MIA-060-007,449,148
MIA-060-008,1191,471
MIA-060-009,780,173
MIA-060-010,339,170
MIA-060-011,648,238
MIA-060-012,649,320
MIA-060-013,381,432
MIA-060-014,379,255
MIA-060-015,535,141
MIA-060-016,411,168
MIA-060-017,303,149
