ivid,household,male,female
TPQ-050-079,838,1174,1255
TPQ-050-080,879,1263,1281
TPQ-050-081,1286,1946,1965
TPQ-050-082,1539,2098,2214
TPQ-050-083,1577,2397,2424
TPQ-050-084,923,1485,1551
TPQ-060-001,1436,1688,1943
TPQ-060-002,1749,2021,2285
TPQ-060-003,1557,1902,2094
TPQ-060-004,1731,2053,2194
TPQ-060-005,2324,2802,3098
TPQ-060-006,2179,2528,2635
TPQ-060-007,2561,2711,2975
TPQ-060-008,2982,3125,3382
TPQ-060-009,1318,1447,1543
TPQ-060-010,1230,1338,1378
TPQ-060-011,1312,1547,1616
TPQ-060-012,665,944,821
TPQ-060-013,1302,1708,1598
TPQ-060-014,3351,4322,4553
TPQ-060-015,1983,2698,2746
TPQ-060-016,4224,5601,5773
TPQ-060-017,2313,3317,3260
TPQ-060-018,2109,3082,2972
TPQ-060-019,2198,3099,2968
TPQ-060-020,2308,2999,3187
TPQ-060-021,346,538,481
TPQ-060-022,2130,2689,2803
TPQ-060-023,1915,2394,2327
TPQ-060-024,320,513,404
TPQ-060-025,1281,1494,1653
TPQ-060-026,886,1445,1277
TPQ-060-027,710,936,881
TPQ-060-028,585,782,624
TPQ-060-029,431,667,564
TPQ-060-030,2258,2740,2874
TPQ-060-031,770,943,947
TPQ-060-032,955,934,1104
TPQ-060-033,1091,1342,1453
TPQ-060-034,784,915,979
TPQ-060-035,332,397,363
TPQ-060-036,950,1209,1230
TPQ-060-037,3896,4094,3689
TPQ-060-038,2579,2915,3242
TPQ-060-039,1189,1353,1550
TPQ-060-040,2796,3490,3709
TPQ-060-041,2976,3572,3923
TPQ-060-042,1989,2063,2458
TPQ-060-043,1081,1264,1398
TPQ-060-044,2645,3203,3625
TPQ-060-045,1490,1825,1991
TPQ-060-046,906,1043,1147
TPQ-060-047,1612,1970,2228
TPQ-060-048,1402,1759,1829
TPQ-060-049,1642,1994,2210
TPQ-060-050,1105,1430,1566
TPQ-060-051,1612,1933,2175
TPQ-060-052,2407,2488,2828
TPQ-060-053,383,497,477
TPQ-060-054,2444,2726,3122
TPQ-060-055,1345,1718,1794
TPQ-060-056,2792,3555,3712
TPQ-060-057,1811,2339,2544
TPQ-060-058,3105,3578,3755
TPQ-060-059,1422,1922,1980
TPQ-060-060,4311,4811,5012
TPQ-060-061,1340,1536,1786
TPQ-060-062,1450,1740,1848
TPQ-060-063,1074,1386,1423
TPQ-060-064,2123,2445,2762
TPQ-060-065,1147,1277,1431
TPQ-060-066,1716,2104,2258
TPQ-060-067,2140,2832,3021
TPQ-060-068,1855,1749,1997
TPQ-060-069,1127,1284,1366
TPQ-070-001,1395,2168,2156
TPQ-070-002,1535,2208,2243
TPQ-070-003,1760,2613,2445
TPQ-070-004,1319,1917,1915
TPQ-070-005,2373,3453,3488
TPQ-070-006,1934,2718,2340
TPQ-070-007,1827,2693,2701
TPQ-070-008,1402,2000,2022
TPQ-070-009,2022,2728,2824
TPQ-070-010,1548,2313,2351
TPQ-070-011,1192,1795,1832
TPQ-070-012,589,947,907
TPQ-070-013,541,644,652
TPQ-070-014,1213,1760,1891
TPQ-070-015,1416,2106,2122
TPQ-070-016,1727,2738,2730
TPQ-070-017,1893,2765,2806
TPQ-070-018,1187,1819,1774
TPQ-070-019,2185,3313,3188
TPQ-070-020,1646,2409,2442
TPQ-070-021,600,996,864
TPQ-070-022,684,1038,868
TPQ-070-023,641,1070,888
TPQ-070-024,5660,6359,6751
TPQ-070-025,776,1244,1123
TPQ-070-026,3573,4112,4391
TPQ-070-027,457,539,519
TPQ-070-028,1575,2322,2397
TPQ-070-029,1395,2049,2076
TPQ-070-030,1421,1817,1972
TPQ-070-031,1367,2125,2050
TPQ-070-032,1454,2305,2227
TPQ-070-033,2063,3161,3186
TPQ-070-034,1896,2789,2884
TPQ-070-035,1954,3093,3029
TPQ-070-036,1827,2793,2665
TPQ-070-037,1143,1607,1689
TPQ-070-038,1208,1777,1812
TPQ-070-039,951,1533,1439
TPQ-070-040,1013,1519,1365
TPQ-070-041,583,973,886
TPQ-070-042,758,1136,1065
TPQ-080-001,383,578,556
TPQ-080-002,873,1257,1287
TPQ-080-003,2105,3147,3277
TPQ-080-004,1797,2201,2148
TPQ-080-005,396,604,592
TPQ-080-006,175,354,276
TPQ-080-007,660,998,1034
TPQ-080-008,2878,4831,4896
TPQ-080-009,1212,1953,1869
TPQ-080-010,2442,3733,3685
TPQ-080-011,2637,4212,3945
TPQ-080-012,324,607,507
TPQ-080-013,116,172,163
TPQ-080-014,1889,2913,2811
TPQ-080-015,1539,2584,2566
TPQ-080-016,1526,2251,2284
TPQ-080-017,1568,2647,2642
TPQ-080-018,2001,3335,3141
TPQ-080-019,1644,2507,2471
TPQ-080-020,2419,3600,3783
TPQ-090-001,123,176,154
TPQ-090-002,255,321,333
TPQ-090-003,1297,1933,1976
TPQ-090-004,860,1260,1241
TPQ-090-005,441,728,592
TPQ-090-006,2722,3932,4156
TPQ-090-007,2083,2924,2970
TPQ-090-008,3507,5112,5011
TPQ-090-009,2993,4418,4365
TPQ-090-010,1407,2370,2123
TPQ-090-011,767,1677,1116
TPQ-090-012,418,673,608
TPQ-090-013,232,335,239
TPQ-090-014,386,559,429
TPQ-090-015,386,489,346
TPQ-090-016,375,495,347
TPQ-090-017,839,1330,1183
TPQ-090-018,552,904,788
TPQ-090-019,1033,1755,1629
TPQ-090-020,336,565,490
TPQ-090-021,628,906,741
TPQ-090-022,916,1273,981
TPQ-090-023,2479,3553,3404
TPQ-090-024,2748,4064,4158
TPQ-090-025,1778,2846,2782
TPQ-090-026,1315,1862,1814
TPQ-090-027,5434,5684,6529
TPQ-090-028,2276,2682,2909
TPQ-100-001,203,377,290
TPQ-100-002,357,658,550
TPQ-100-003,641,921,796
TPQ-100-004,674,957,834
TPQ-100-005,459,607,494
TPQ-100-006,1158,1624,1444
TPQ-100-007,346,529,440
TPQ-100-008,2254,2313,2443
TPQ-100-009,639,828,743
TPQ-100-010,2675,3177,3537
TPQ-100-011,2247,3107,3156
TPQ-100-012,3409,3744,4045
TPQ-100-013,871,1324,1122
TPQ-100-014,396,728,547
TPQ-100-015,531,684,610
TPQ-100-016,618,713,709
TPQ-100-017,3223,3151,3407
TPQ-100-018,2872,2939,3420
TPQ-100-019,3233,3254,3854
TPQ-100-020,2539,2176,2749
TPQ-100-021,4459,4107,4859
TPQ-100-022,2576,2995,3379
TPQ-100-023,1713,2160,2319
TPQ-100-024,620,825,818
TPQ-100-025,474,649,635
TPQ-100-026,349,461,451
TPQ-100-027,616,844,834
TPQ-100-028,385,498,518
TPQ-100-029,313,430,467
TPQ-100-030,668,598,480
TPQ-100-031,831,943,1090
TPQ-100-032,2230,2811,2973
TPQ-100-033,1319,1757,1801
TPQ-100-034,1522,2224,2357
TPQ-100-035,2713,3391,3698
TPQ-100-036,1918,2376,2541
TPQ-100-037,1914,2132,2555
TPQ-100-038,1314,1412,1565
TPQ-100-039,1842,1948,2223
TPQ-100-040,1648,2260,2342
TPQ-100-041,1921,2182,2328
TPQ-100-042,2499,2593,2946
TPQ-110-001,625,752,747
TPQ-110-002,482,562,548
TPQ-110-003,1994,2054,2393
TPQ-110-004,161,189,154
TPQ-110-005,1183,1465,1610
TPQ-110-006,2487,3006,2724
TPQ-110-007,2221,2894,3015
TPQ-110-008,3186,3322,3811
TPQ-110-009,1742,2467,2421
TPQ-110-010,647,854,803
TPQ-110-011,594,828,826
TPQ-110-012,1667,2120,2080
TPQ-110-013,870,1210,1148
TPQ-110-014,2325,3138,2962
TPQ-110-015,1977,2516,2429
TPQ-110-016,701,783,763
TPQ-110-017,441,533,488
TPQ-110-018,936,1172,1081
TPQ-110-019,1798,2334,2228
TPQ-110-020,2448,2555,2649
TPQ-110-021,1823,2258,2279
TPQ-110-022,2050,2353,2310
TPQ-110-023,277,323,282
TPQ-110-024,1654,1708,1853
TPQ-110-025,1390,1336,1506
TPQ-110-026,3187,3556,3672
TPQ-110-027,2586,2660,2694
TPQ-110-028,747,917,915
TPQ-110-029,2989,3791,3787
TPQ-110-030,3126,3696,3820
TPQ-110-031,2130,2578,2679
TPQ-110-032,1582,2089,2146
TPQ-110-033,2267,2460,2504
TPQ-110-034,1395,1545,1611
TPQ-110-035,1365,1480,1533
TPQ-110-036,2624,2464,2647
TPQ-110-037,1515,1622,1729
TPQ-110-038,522,700,561
TPQ-110-039,1909,1902,1971
TPQ-110-040,1140,1388,1489
TPQ-110-041,1175,1346,1461
TPQ-110-042,2015,2559,2605
TPQ-110-043,2815,3026,3064
TPQ-110-044,566,474,522
